Store,Total Areas,Closest Area,Farthest Area,Avg Distance (km)
Rolla,57,Al Musalla (0.56 km),Al Falaj (29.25 km),6.95
Muwaileh,14,Al Mamsha (1.53 km),Al Bataeh (31.85 km),8.18
